DayNum,Timestamp(ms),Timestamp (s),Timestamp (numbers),HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V]
5.889617213,10200,10.2,0.000118056,-60,66.46341705,377.5
5.889617213,10300,10.3,0.000119213,-20.5,66.46341705,377.5
5.889617213,10700,10.7,0.000123843,-20.5,66.46341705,377.5
5.889617213,11800,11.8,0.000136574,-20.5,66.46341705,377.5
5.889617213,12800,12.8,0.000148148,-20.5,66.46341705,377.5
5.889617213,13900,13.9,0.00016088,-20.5,66.46341705,377.5
5.889617213,14900,14.9,0.000172454,-20.5,66.46341705,377.5
5.889617213,15300,15.3,0.000177083,21.5,66.46341705,383
5.889617213,15900,15.9,0.000184028,21.5,66.46341705,383
5.889617213,17000,17,0.000196759,21.5,66.46341705,383
5.889617213,18000,18,0.000208333,21.5,66.46341705,383
5.889617213,19100,19.1,0.000221065,21.5,66.46341705,383
5.889617213,19900,19.9,0.000230324,21.5,66.46341705,383
5.889617213,20100,20.1,0.000232639,21.5,66.46341705,383
5.889617213,20300,20.3,0.000234954,17,66.46341705,385.5
5.889617213,21100,21.1,0.000244213,17,66.46341705,385.5
5.889617213,22200,22.2,0.000256944,17,66.46341705,385.5
5.889617213,23200,23.2,0.000268519,17,66.46341705,385.5
5.889617213,24200,24.2,0.000280093,17,66.46341705,385.5
5.889617213,24900,24.9,0.000288194,17,66.46341705,385.5
5.889617213,25300,25.3,0.000292824,17,66.46341705,385.5
5.889617213,25400,25.4,0.000293981,14.5,66.46341705,383
5.889617213,26300,26.3,0.000304398,14.5,66.46341705,383
5.889617213,27400,27.4,0.00031713,14.5,66.46341705,383
5.889617213,28400,28.4,0.000328704,14.5,66.46341705,383
5.889617213,29500,29.5,0.000341435,14.5,66.46341705,383
5.889617213,30000,30,0.000347222,14.5,66.46341705,383
5.889617213,30400,30.4,0.000351852,-12,66.46341705,381.5
5.889617213,30500,30.5,0.000353009,-12,66.46341705,381.5
5.889617213,31500,31.5,0.000364583,-12,66.46341705,381.5
